Baseline Price: 265000.0
----------------------------------------
Feature: Neighborhood              | Changed 'SawyerW' -> 'Not Available' | New Price: 265000.0 | Impact: 0.0
Feature: Overall Quality           | Changed '5' -> '0' | New Price: 245000.0 | Impact: 20000.0
Feature: Overall Condition         | Changed '7' -> '0' | New Price: 265000.0 | Impact: 0.0
Feature: Year Built                | Changed '1880' -> '19' | New Price: 265000.0 | Impact: 0.0
Feature: Year Remodeled/Added      | Changed '2007' -> '20' | New Price: 255000.0 | Impact: 10000.0
Feature: Exterior Quality          | Changed 'Gd' -> 'Not Available' | New Price: 265000.0 | Impact: 0.0
Feature: Exterior Condition        | Changed 'TA' -> 'Not Available' | New Price: 265000.0 | Impact: 0.0
Feature: Basement Height Quality   | Changed 'NA' -> 'Not Available' | New Price: 265000.0 | Impact: 0.0
Feature: Basement Condition        | Changed 'NA' -> 'Not Available' | New Price: 265000.0 | Impact: 0.0
Feature: Basement Finished Area 1 (sqft) | Changed '0' -> '0' | New Price: 265000.0 | Impact: 0.0
Feature: Total Basement Area (sqft) | Changed '0' -> '0' | New Price: 265000.0 | Impact: 0.0
Feature: Heating Quality           | Changed 'Ex' -> 'Not Available' | New Price: 265000.0 | Impact: 0.0
Feature: Central Air Conditioning  | Changed 'Y' -> 'Not Available' | New Price: 265000.0 | Impact: 0.0
Feature: First Floor Area (sqft)   | Changed '1288' -> '13' | New Price: 285000.0 | Impact: 20000.0
Feature: Above Ground Living Area (sqft) | Changed '2016' -> '20' | New Price: 265000.0 | Impact: 0.0
Feature: Basement Full Bathrooms   | Changed '0' -> '0' | New Price: 265000.0 | Impact: 0.0
Feature: Full Bathrooms            | Changed '1' -> '0' | New Price: 265000.0 | Impact: 0.0
Feature: Bedrooms Above Ground     | Changed '4' -> '0' | New Price: 265000.0 | Impact: 0.0
Feature: Kitchen Quality           | Changed 'TA' -> 'Not Available' | New Price: 265000.0 | Impact: 0.0
Feature: Garage Type               | Changed 'Attchd' -> 'Not Available' | New Price: 265000.0 | Impact: 0.0
Feature: Garage Capacity (Cars)    | Changed '2' -> '0' | New Price: 265000.0 | Impact: 0.0
Feature: Garage Area (sqft)        | Changed '576' -> '6' | New Price: 265000.0 | Impact: 0.0
