Baseline Price: 165000.0
----------------------------------------
Feature: Neighborhood              | Changed 'MeadowV' -> 'Not Available' | New Price: 165000.0 | Impact: 0.0
Feature: Overall Quality           | Changed '4' -> '0' | New Price: 155000.0 | Impact: 10000.0
Feature: Overall Condition         | Changed '5' -> '0' | New Price: 165000.0 | Impact: 0.0
Feature: Year Built                | Changed '1973' -> '20' | New Price: 165000.0 | Impact: 0.0
Feature: Year Remodeled/Added      | Changed '1973' -> '20' | New Price: 175000.0 | Impact: 10000.0
Feature: Exterior Quality          | Changed 'TA' -> 'Not Available' | New Price: 165000.0 | Impact: 0.0
Feature: Exterior Condition        | Changed 'TA' -> 'Not Available' | New Price: 165000.0 | Impact: 0.0
Feature: Basement Height Quality   | Changed 'Gd' -> 'Not Available' | New Price: 165000.0 | Impact: 0.0
Feature: Basement Condition        | Changed 'TA' -> 'Not Available' | New Price: 165000.0 | Impact: 0.0
Feature: Basement Finished Area 1 (sqft) | Changed '462' -> '5' | New Price: 165000.0 | Impact: 0.0
Feature: Total Basement Area (sqft) | Changed '462' -> '5' | New Price: 165000.0 | Impact: 0.0
Feature: Heating Quality           | Changed 'TA' -> 'Not Available' | New Price: 165000.0 | Impact: 0.0
Feature: Central Air Conditioning  | Changed 'Y' -> 'Not Available' | New Price: 165000.0 | Impact: 0.0
Feature: First Floor Area (sqft)   | Changed '526' -> '5' | New Price: 165000.0 | Impact: 0.0
Feature: Above Ground Living Area (sqft) | Changed '988' -> '10' | New Price: 165000.0 | Impact: 0.0
Feature: Basement Full Bathrooms   | Changed '1' -> '0' | New Price: 165000.0 | Impact: 0.0
Feature: Full Bathrooms            | Changed '1' -> '0' | New Price: 165000.0 | Impact: 0.0
Feature: Bedrooms Above Ground     | Changed '2' -> '0' | New Price: 165000.0 | Impact: 0.0
Feature: Kitchen Quality           | Changed 'TA' -> 'Not Available' | New Price: 165000.0 | Impact: 0.0
Feature: Garage Type               | Changed 'BuiltIn' -> 'Not Available' | New Price: 165000.0 | Impact: 0.0
Feature: Garage Capacity (Cars)    | Changed '1' -> '0' | New Price: 165000.0 | Impact: 0.0
Feature: Garage Area (sqft)        | Changed '297' -> '3' | New Price: 165000.0 | Impact: 0.0
