Baseline Price: 235000.0
----------------------------------------
Feature: Neighborhood              | Changed 'Edwards' -> 'Not Available' | New Price: 225000.0 | Impact: 10000.0
Feature: Overall Quality           | Changed '6' -> '0' | New Price: 185000.0 | Impact: 50000.0
Feature: Overall Condition         | Changed '6' -> '0' | New Price: 225000.0 | Impact: 10000.0
Feature: Year Built                | Changed '1976' -> '20' | New Price: 225000.0 | Impact: 10000.0
Feature: Year Remodeled/Added      | Changed '1976' -> '20' | New Price: 235000.0 | Impact: 0.0
Feature: Exterior Quality          | Changed 'TA' -> 'Not Available' | New Price: 225000.0 | Impact: 10000.0
Feature: Exterior Condition        | Changed 'Fa' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: Basement Height Quality   | Changed 'TA' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: Basement Condition        | Changed 'TA' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: Basement Finished Area 1 (sqft) | Changed '504' -> '5' | New Price: 235000.0 | Impact: 0.0
Feature: Total Basement Area (sqft) | Changed '960' -> '10' | New Price: 225000.0 | Impact: 10000.0
Feature: Heating Quality           | Changed 'TA' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: Central Air Conditioning  | Changed 'Y' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: First Floor Area (sqft)   | Changed '1044' -> '10' | New Price: 235000.0 | Impact: 0.0
Feature: Above Ground Living Area (sqft) | Changed '1044' -> '10' | New Price: 235000.0 | Impact: 0.0
Feature: Basement Full Bathrooms   | Changed '1' -> '0' | New Price: 235000.0 | Impact: 0.0
Feature: Full Bathrooms            | Changed '1' -> '0' | New Price: 235000.0 | Impact: 0.0
Feature: Bedrooms Above Ground     | Changed '3' -> '0' | New Price: 225000.0 | Impact: 10000.0
Feature: Kitchen Quality           | Changed 'TA' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: Garage Type               | Changed 'Detchd' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: Garage Capacity (Cars)    | Changed '2' -> '0' | New Price: 225000.0 | Impact: 10000.0
Feature: Garage Area (sqft)        | Changed '528' -> '5' | New Price: 235000.0 | Impact: 0.0
