Baseline Price: 235000.0
----------------------------------------
Feature: Neighborhood              | Changed 'Sawyer' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: Overall Quality           | Changed '7' -> '0' | New Price: 215000.0 | Impact: 20000.0
Feature: Overall Condition         | Changed '8' -> '0' | New Price: 235000.0 | Impact: 0.0
Feature: Year Built                | Changed '1940' -> '19' | New Price: 235000.0 | Impact: 0.0
Feature: Year Remodeled/Added      | Changed '1998' -> '20' | New Price: 225000.0 | Impact: 10000.0
Feature: Exterior Quality          | Changed 'TA' -> 'Not Available' | New Price: 245000.0 | Impact: 10000.0
Feature: Exterior Condition        | Changed 'TA' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: Basement Height Quality   | Changed 'TA' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: Basement Condition        | Changed 'TA' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: Basement Finished Area 1 (sqft) | Changed '258' -> '3' | New Price: 235000.0 | Impact: 0.0
Feature: Total Basement Area (sqft) | Changed '680' -> '7' | New Price: 245000.0 | Impact: 10000.0
Feature: Heating Quality           | Changed 'Ex' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: Central Air Conditioning  | Changed 'Y' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: First Floor Area (sqft)   | Changed '798' -> '8' | New Price: 245000.0 | Impact: 10000.0
Feature: Above Ground Living Area (sqft) | Changed '1302' -> '13' | New Price: 235000.0 | Impact: 0.0
Feature: Basement Full Bathrooms   | Changed '0' -> '0' | New Price: 235000.0 | Impact: 0.0
Feature: Full Bathrooms            | Changed '1' -> '0' | New Price: 235000.0 | Impact: 0.0
Feature: Bedrooms Above Ground     | Changed '2' -> '0' | New Price: 245000.0 | Impact: 10000.0
Feature: Kitchen Quality           | Changed 'Gd' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: Garage Type               | Changed 'Attchd' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: Garage Capacity (Cars)    | Changed '1' -> '0' | New Price: 245000.0 | Impact: 10000.0
Feature: Garage Area (sqft)        | Changed '224' -> '2' | New Price: 235000.0 | Impact: 0.0
