Baseline Price: 235000.0
----------------------------------------
Feature: Neighborhood              | Changed 'NAmes' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: Overall Quality           | Changed '5' -> '0' | New Price: 215000.0 | Impact: 20000.0
Feature: Overall Condition         | Changed '6' -> '0' | New Price: 235000.0 | Impact: 0.0
Feature: Year Built                | Changed '1968' -> '20' | New Price: 247800.0 | Impact: 12800.0
Feature: Year Remodeled/Added      | Changed '1968' -> '20' | New Price: 247000.0 | Impact: 12000.0
Feature: Exterior Quality          | Changed 'TA' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: Exterior Condition        | Changed 'TA' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: Basement Height Quality   | Changed 'TA' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: Basement Condition        | Changed 'TA' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: Basement Finished Area 1 (sqft) | Changed '744' -> '7' | New Price: 232000.0 | Impact: 3000.0
Feature: Total Basement Area (sqft) | Changed '912' -> '9' | New Price: 247800.0 | Impact: 12800.0
Feature: Heating Quality           | Changed 'TA' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: Central Air Conditioning  | Changed 'Y' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: First Floor Area (sqft)   | Changed '1044' -> '10' | New Price: 247500.0 | Impact: 12500.0
Feature: Above Ground Living Area (sqft) | Changed '1044' -> '10' | New Price: 247500.0 | Impact: 12500.0
Feature: Basement Full Bathrooms   | Changed '0' -> '0' | New Price: 235000.0 | Impact: 0.0
Feature: Full Bathrooms            | Changed '1' -> '0' | New Price: 235000.0 | Impact: 0.0
Feature: Bedrooms Above Ground     | Changed '3' -> '0' | New Price: 235000.0 | Impact: 0.0
Feature: Kitchen Quality           | Changed 'TA' -> 'Not Available' | New Price: 235000.0 | Impact: 0.0
Feature: Garage Type               | Changed 'Attchd' -> 'Not Available' | New Price: 247500.0 | Impact: 12500.0
Feature: Garage Capacity (Cars)    | Changed '2' -> '0' | New Price: 235000.0 | Impact: 0.0
Feature: Garage Area (sqft)        | Changed '372' -> '4' | New Price: 247000.0 | Impact: 12000.0
