Baseline Price: 215000.0
----------------------------------------
Feature: Neighborhood              | Changed 'NAmes' -> 'Not Available' | New Price: 215000.0 | Impact: 0.0
Feature: Overall Quality           | Changed '5' -> '0' | New Price: 165000.0 | Impact: 50000.0
Feature: Overall Condition         | Changed '8' -> '0' | New Price: 215000.0 | Impact: 0.0
Feature: Year Built                | Changed '1952' -> '20' | New Price: 222000.0 | Impact: 7000.0
Feature: Year Remodeled/Added      | Changed '2005' -> '20' | New Price: 215000.0 | Impact: 0.0
Feature: Exterior Quality          | Changed 'Gd' -> 'Not Available' | New Price: 215000.0 | Impact: 0.0
Feature: Exterior Condition        | Changed 'TA' -> 'Not Available' | New Price: 215000.0 | Impact: 0.0
Feature: Basement Height Quality   | Changed 'TA' -> 'Not Available' | New Price: 215000.0 | Impact: 0.0
Feature: Basement Condition        | Changed 'TA' -> 'Not Available' | New Price: 215000.0 | Impact: 0.0
Feature: Basement Finished Area 1 (sqft) | Changed '931' -> '9' | New Price: 175000.0 | Impact: 40000.0
Feature: Total Basement Area (sqft) | Changed '1031' -> '10' | New Price: 215000.0 | Impact: 0.0
Feature: Heating Quality           | Changed 'Gd' -> 'Not Available' | New Price: 215000.0 | Impact: 0.0
Feature: Central Air Conditioning  | Changed 'Y' -> 'Not Available' | New Price: 215000.0 | Impact: 0.0
Feature: First Floor Area (sqft)   | Changed '1031' -> '10' | New Price: 215000.0 | Impact: 0.0
Feature: Above Ground Living Area (sqft) | Changed '1031' -> '10' | New Price: 215000.0 | Impact: 0.0
Feature: Basement Full Bathrooms   | Changed '1' -> '0' | New Price: 215000.0 | Impact: 0.0
Feature: Full Bathrooms            | Changed '1' -> '0' | New Price: 215000.0 | Impact: 0.0
Feature: Bedrooms Above Ground     | Changed '2' -> '0' | New Price: 215000.0 | Impact: 0.0
Feature: Kitchen Quality           | Changed 'Gd' -> 'Not Available' | New Price: 215000.0 | Impact: 0.0
Feature: Garage Type               | Changed 'Attchd' -> 'Not Available' | New Price: 215000.0 | Impact: 0.0
Feature: Garage Capacity (Cars)    | Changed '1' -> '0' | New Price: 215000.0 | Impact: 0.0
Feature: Garage Area (sqft)        | Changed '230' -> '2' | New Price: 215000.0 | Impact: 0.0
