Baseline Price: 245000.0
----------------------------------------
Feature: Building Class            | Changed '120' -> '17' | New Price: 245000.0 | Impact: 0.0
Feature: Zoning Classification     | Changed 'FV' -> 'Unknown' | New Price: 245000.0 | Impact: 0.0
Feature: Lot Frontage (ft)         | Changed '45' -> '140' | New Price: 245000.0 | Impact: 0.0
Feature: Lot Area (sqft)           | Changed '4379' -> '15267' | New Price: 245000.0 | Impact: 0.0
Feature: Street Type               | Changed 'Pave' -> 'Other' | New Price: 245000.0 | Impact: 0.0
Feature: Alley Access              | Changed 'NA' -> 'Unknown' | New Price: 245000.0 | Impact: 0.0
Feature: Lot Shape                 | Changed 'IR1' -> 'Rare' | New Price: 245000.0 | Impact: 0.0
Feature: Land Contour              | Changed 'Lvl' -> 'Rare' | New Price: 245000.0 | Impact: 0.0
Feature: Utilities                 | Changed 'AllPub' -> 'Other' | New Price: 245000.0 | Impact: 0.0
Feature: Lot Configuration         | Changed 'FR2' -> 'Unknown' | New Price: 245000.0 | Impact: 0.0
Feature: Land Slope                | Changed 'Gtl' -> 'Low' | New Price: 245000.0 | Impact: 0.0
Feature: Neighborhood              | Changed 'Somerst' -> 'Other' | New Price: 245000.0 | Impact: 0.0
Feature: Proximity to Conditions 1 | Changed 'Norm' -> 'Other' | New Price: 245000.0 | Impact: 0.0
Feature: Proximity to Conditions 2 | Changed 'Norm' -> 'Unknown' | New Price: 245000.0 | Impact: 0.0
Feature: Building Type             | Changed 'TwnhsE' -> 'Rare' | New Price: 245000.0 | Impact: 0.0
Feature: House Style               | Changed '1Story' -> 'Unknown' | New Price: 245000.0 | Impact: 0.0
Feature: Overall Quality           | Changed '8' -> '14' | New Price: 235000.0 | Impact: 10000.0
Feature: Overall Condition         | Changed '5' -> '11' | New Price: 235000.0 | Impact: 10000.0
Feature: Year Built                | Changed '2004' -> '4824' | New Price: 265000.0 | Impact: 20000.0
Feature: Year Remodeled/Added      | Changed '2004' -> '217' | New Price: 245000.0 | Impact: 0.0
Feature: Roof Style                | Changed 'Gable' -> 'High' | New Price: 245000.0 | Impact: 0.0
Feature: Roof Material             | Changed 'CompShg' -> 'Unknown' | New Price: 245000.0 | Impact: 0.0
Feature: Exterior Covering 1       | Changed 'MetalSd' -> 'Low' | New Price: 245000.0 | Impact: 0.0
Feature: Exterior Covering 2       | Changed 'MetalSd' -> 'Other' | New Price: 245000.0 | Impact: 0.0
Feature: Masonry Veneer Type       | Changed 'None' -> 'Unknown' | New Price: 245000.0 | Impact: 0.0
Feature: Masonry Veneer Area (sqft) | Changed '0' -> '0' | New Price: 245000.0 | Impact: 0.0
Feature: Exterior Quality          | Changed 'Gd' -> 'Unknown' | New Price: 245000.0 | Impact: 0.0
Feature: Exterior Condition        | Changed 'TA' -> 'Unknown' | New Price: 245000.0 | Impact: 0.0
Feature: Foundation Type           | Changed 'PConc' -> 'Low' | New Price: 245000.0 | Impact: 0.0
Feature: Basement Height Quality   | Changed 'Gd' -> 'Other' | New Price: 245000.0 | Impact: 0.0
Feature: Basement Condition        | Changed 'TA' -> 'Unknown' | New Price: 245000.0 | Impact: 0.0
Feature: Basement Exposure         | Changed 'Av' -> 'Other' | New Price: 245000.0 | Impact: 0.0
Feature: Basement Finish Type 1    | Changed 'GLQ' -> 'Rare' | New Price: 245000.0 | Impact: 0.0
