Baseline Price: 225000.0
----------------------------------------
Feature: Building Class            | Changed '20' -> '2' | New Price: 225000.0 | Impact: 0.0
Feature: Zoning Classification     | Changed 'RL' -> 'Unknown' | New Price: 215000.0 | Impact: 10000.0
Feature: Lot Frontage (ft)         | Changed '57' -> '101' | New Price: 235000.0 | Impact: 10000.0
Feature: Lot Area (sqft)           | Changed '9245' -> '36478' | New Price: 225000.0 | Impact: 0.0
Feature: Street Type               | Changed 'Pave' -> 'Other' | New Price: 225000.0 | Impact: 0.0
Feature: Alley Access              | Changed 'NA' -> 'Other' | New Price: 215000.0 | Impact: 10000.0
Feature: Lot Shape                 | Changed 'IR2' -> 'Low' | New Price: 215000.0 | Impact: 10000.0
Feature: Land Contour              | Changed 'Lvl' -> 'Low' | New Price: 225000.0 | Impact: 0.0
Feature: Utilities                 | Changed 'AllPub' -> 'Rare' | New Price: 215000.0 | Impact: 10000.0
Feature: Lot Configuration         | Changed 'Inside' -> 'High' | New Price: 225000.0 | Impact: 0.0
Feature: Land Slope                | Changed 'Gtl' -> 'Other' | New Price: 215000.0 | Impact: 10000.0
Feature: Neighborhood              | Changed 'CollgCr' -> 'Rare' | New Price: 235000.0 | Impact: 10000.0
Feature: Proximity to Conditions 1 | Changed 'Norm' -> 'Unknown' | New Price: 225000.0 | Impact: 0.0
Feature: Proximity to Conditions 2 | Changed 'Norm' -> 'Low' | New Price: 215000.0 | Impact: 10000.0
Feature: Building Type             | Changed '1Fam' -> 'Unknown' | New Price: 215000.0 | Impact: 10000.0
Feature: House Style               | Changed '1Story' -> 'High' | New Price: 235000.0 | Impact: 10000.0
Feature: Overall Quality           | Changed '5' -> '19' | New Price: 225000.0 | Impact: 0.0
Feature: Overall Condition         | Changed '5' -> '19' | New Price: 225000.0 | Impact: 0.0
Feature: Year Built                | Changed '1994' -> '256' | New Price: 225000.0 | Impact: 0.0
Feature: Year Remodeled/Added      | Changed '1995' -> '258' | New Price: 235000.0 | Impact: 10000.0
Feature: Roof Style                | Changed 'Gable' -> 'High' | New Price: 225000.0 | Impact: 0.0
Feature: Roof Material             | Changed 'CompShg' -> 'Low' | New Price: 235000.0 | Impact: 10000.0
Feature: Exterior Covering 1       | Changed 'VinylSd' -> 'High' | New Price: 225000.0 | Impact: 0.0
Feature: Exterior Covering 2       | Changed 'VinylSd' -> 'Rare' | New Price: 225000.0 | Impact: 0.0
Feature: Masonry Veneer Type       | Changed 'None' -> 'Unknown' | New Price: 215000.0 | Impact: 10000.0
Feature: Masonry Veneer Area (sqft) | Changed '0' -> '0' | New Price: 215000.0 | Impact: 10000.0
Feature: Exterior Quality          | Changed 'TA' -> 'High' | New Price: 225000.0 | Impact: 0.0
Feature: Exterior Condition        | Changed 'TA' -> 'Low' | New Price: 215000.0 | Impact: 10000.0
Feature: Foundation Type           | Changed 'PConc' -> 'Rare' | New Price: 225000.0 | Impact: 0.0
Feature: Basement Height Quality   | Changed 'Gd' -> 'Other' | New Price: 215000.0 | Impact: 10000.0
