Experiment Started: 2025-12-14 13:10:26.298193
Parcel_ID, Feature_Perturbed, Original_Price, New_Price, Importance_Score
533205110, Building Class, 245000.0, 245000.0, 0.0
533205110, Zoning Classification, 245000.0, 245000.0, 0.0
533205110, Lot Frontage (ft), 245000.0, 245000.0, 0.0
533205110, Lot Area (sqft), 245000.0, 245000.0, 0.0
533205110, Street Type, 245000.0, 245000.0, 0.0
533205110, Alley Access, 245000.0, 245000.0, 0.0
533205110, Lot Shape, 245000.0, 245000.0, 0.0
533205110, Land Contour, 245000.0, 245000.0, 0.0
533205110, Utilities, 245000.0, 245000.0, 0.0
533205110, Lot Configuration, 245000.0, 245000.0, 0.0
533205110, Land Slope, 245000.0, 245000.0, 0.0
533205110, Neighborhood, 245000.0, 245000.0, 0.0
533205110, Proximity to Conditions 1, 245000.0, 245000.0, 0.0
533205110, Proximity to Conditions 2, 245000.0, 245000.0, 0.0
533205110, Building Type, 245000.0, 245000.0, 0.0
533205110, House Style, 245000.0, 245000.0, 0.0
533205110, Overall Quality, 245000.0, 235000.0, 10000.0
533205110, Overall Condition, 245000.0, 235000.0, 10000.0
533205110, Year Built, 245000.0, 265000.0, 20000.0
533205110, Year Remodeled/Added, 245000.0, 245000.0, 0.0
533205110, Roof Style, 245000.0, 245000.0, 0.0
533205110, Roof Material, 245000.0, 245000.0, 0.0
533205110, Exterior Covering 1, 245000.0, 245000.0, 0.0
533205110, Exterior Covering 2, 245000.0, 245000.0, 0.0
533205110, Masonry Veneer Type, 245000.0, 245000.0, 0.0
533205110, Masonry Veneer Area (sqft), 245000.0, 245000.0, 0.0
533205110, Exterior Quality, 245000.0, 245000.0, 0.0
533205110, Exterior Condition, 245000.0, 245000.0, 0.0
533205110, Foundation Type, 245000.0, 245000.0, 0.0
533205110, Basement Height Quality, 245000.0, 245000.0, 0.0
533205110, Basement Condition, 245000.0, 245000.0, 0.0
533205110, Basement Exposure, 245000.0, 245000.0, 0.0
533205110, Basement Finish Type 1, 245000.0, 245000.0, 0.0
533205110, Basement Finished Area 1 (sqft), 245000.0, 235000.0, 10000.0
533205110, Basement Finish Type 2, 245000.0, 245000.0, 0.0
533205110, Basement Finished Area 2 (sqft), 245000.0, 245000.0, 0.0
533205110, Basement Unfinished Area (sqft), 245000.0, 245000.0, 0.0
533205110, Total Basement Area (sqft), 245000.0, 245000.0, 0.0
533205110, Heating Type, 245000.0, 245000.0, 0.0
533205110, Heating Quality, 245000.0, 245000.0, 0.0
533205110, Central Air Conditioning, 245000.0, 245000.0, 0.0
533205110, Electrical System, 245000.0, 245000.0, 0.0
533205110, First Floor Area (sqft), 245000.0, 245000.0, 0.0
533205110, Second Floor Area (sqft), 245000.0, 245000.0, 0.0
533205110, Low Quality Finished Area (sqft), 245000.0, 245000.0, 0.0
533205110, Above Ground Living Area (sqft), 245000.0, 245000.0, 0.0
533205110, Basement Full Bathrooms, 245000.0, 245000.0, 0.0
533205110, Basement Half Bathrooms, 245000.0, 245000.0, 0.0
533205110, Full Bathrooms, 245000.0, 245000.0, 0.0
533205110, Half Bathrooms, 245000.0, 245000.0, 0.0
533205110, Bedrooms Above Ground, 245000.0, 245000.0, 0.0
533205110, Kitchens Above Ground, 245000.0, 245000.0, 0.0
533205110, Kitchen Quality, 245000.0, 245000.0, 0.0
533205110, Total Rooms Above Ground, 245000.0, 245000.0, 0.0
533205110, Functional Rating, 245000.0, 245000.0, 0.0
533205110, Number of Fireplaces, 245000.0, 245000.0, 0.0
533205110, Fireplace Quality, 245000.0, 245000.0, 0.0
533205110, Garage Type, 245000.0, 245000.0, 0.0
533205110, Garage Year Built, 245000.0, 245000.0, 0.0
533205110, Garage Finish Type, 245000.0, 245000.0, 0.0
533205110, Garage Capacity (Cars), 245000.0, 245000.0, 0.0
533205110, Garage Area (sqft), 245000.0, 235000.0, 10000.0
533205110, Garage Quality, 245000.0, 245000.0, 0.0
533205110, Garage Condition, 245000.0, 245000.0, 0.0
533205110, Paved Driveway, 245000.0, 245000.0, 0.0
533205110, Wood Deck Area (sqft), 245000.0, 235000.0, 10000.0
533205110, Open Porch Area (sqft), 245000.0, 245000.0, 0.0
533205110, Enclosed Porch Area (sqft), 245000.0, 245000.0, 0.0
533205110, Three-Season Porch Area (sqft), 245000.0, 245000.0, 0.0
533205110, Screen Porch Area (sqft), 245000.0, 245000.0, 0.0
533205110, Pool Area (sqft), 245000.0, 245000.0, 0.0
533205110, Pool Quality, 245000.0, 245000.0, 0.0
533205110, Fence Quality, 245000.0, 245000.0, 0.0
533205110, Miscellaneous Feature, 245000.0, 245000.0, 0.0
533205110, Miscellaneous Value, 245000.0, 245000.0, 0.0
533205110, Month Sold, 245000.0, 245000.0, 0.0
533205110, Year Sold, 245000.0, 285000.0, 40000.0
533205110, Sale Type, 245000.0, 245000.0, 0.0
533205110, Sale Condition, 245000.0, 245000.0, 0.0
535403210, Building Class, 185000.0, 185000.0, 0.0
535403210, Zoning Classification, 185000.0, 185000.0, 0.0
535403210, Lot Frontage (ft), 185000.0, 185000.0, 0.0
535403210, Lot Area (sqft), 185000.0, 185000.0, 0.0
535403210, Street Type, 185000.0, 185000.0, 0.0
535403210, Alley Access, 185000.0, 185000.0, 0.0
535403210, Lot Shape, 185000.0, 185000.0, 0.0
535403210, Land Contour, 185000.0, 185000.0, 0.0
535403210, Utilities, 185000.0, 185000.0, 0.0
535403210, Lot Configuration, 185000.0, 185000.0, 0.0
535403210, Land Slope, 185000.0, 185000.0, 0.0
535403210, Neighborhood, 185000.0, 185000.0, 0.0
535403210, Proximity to Conditions 1, 185000.0, 185000.0, 0.0
535403210, Proximity to Conditions 2, 185000.0, 185000.0, 0.0
535403210, Building Type, 185000.0, 185000.0, 0.0
535403210, House Style, 185000.0, 185000.0, 0.0
535403210, Overall Quality, 185000.0, 165000.0, 20000.0
535403210, Overall Condition, 185000.0, 185000.0, 0.0
535403210, Year Built, 185000.0, 185000.0, 0.0
535403210, Year Remodeled/Added, 185000.0, 185000.0, 0.0
535403210, Roof Style, 185000.0, 185000.0, 0.0
535403210, Roof Material, 185000.0, 185000.0, 0.0
535403210, Exterior Covering 1, 185000.0, 185000.0, 0.0
535403210, Exterior Covering 2, 185000.0, 185000.0, 0.0
535403210, Masonry Veneer Type, 185000.0, 185000.0, 0.0
535403210, Masonry Veneer Area (sqft), 185000.0, 185000.0, 0.0
535403210, Exterior Quality, 185000.0, 185000.0, 0.0
535403210, Exterior Condition, 185000.0, 185000.0, 0.0
535403210, Foundation Type, 185000.0, 185000.0, 0.0
535403210, Basement Height Quality, 185000.0, 185000.0, 0.0
535403210, Basement Condition, 185000.0, 185000.0, 0.0
535403210, Basement Exposure, 185000.0, 185000.0, 0.0
535403210, Basement Finish Type 1, 185000.0, 185000.0, 0.0
535403210, Basement Finished Area 1 (sqft), 185000.0, 185000.0, 0.0
535403210, Basement Finish Type 2, 185000.0, 185000.0, 0.0
535403210, Basement Finished Area 2 (sqft), 185000.0, 185000.0, 0.0
535403210, Basement Unfinished Area (sqft), 185000.0, 185000.0, 0.0
535403210, Total Basement Area (sqft), 185000.0, 185000.0, 0.0
535403210, Heating Type, 185000.0, 185000.0, 0.0
535403210, Heating Quality, 185000.0, 185000.0, 0.0
535403210, Central Air Conditioning, 185000.0, 185000.0, 0.0
535403210, Electrical System, 185000.0, 185000.0, 0.0
535403210, First Floor Area (sqft), 185000.0, 215000.0, 30000.0
535403210, Second Floor Area (sqft), 185000.0, 185000.0, 0.0
535403210, Low Quality Finished Area (sqft), 185000.0, 185000.0, 0.0
535403210, Above Ground Living Area (sqft), 185000.0, 215000.0, 30000.0
535403210, Basement Full Bathrooms, 185000.0, 185000.0, 0.0
535403210, Basement Half Bathrooms, 185000.0, 185000.0, 0.0
535403210, Full Bathrooms, 185000.0, 215000.0, 30000.0
535403210, Half Bathrooms, 185000.0, 185000.0, 0.0
535403210, Bedrooms Above Ground, 185000.0, 185000.0, 0.0
535403210, Kitchens Above Ground, 185000.0, 185000.0, 0.0
535403210, Kitchen Quality, 185000.0, 185000.0, 0.0
535403210, Total Rooms Above Ground, 185000.0, 185000.0, 0.0
535403210, Functional Rating, 185000.0, 185000.0, 0.0
535403210, Number of Fireplaces, 185000.0, 185000.0, 0.0
535403210, Fireplace Quality, 185000.0, 185000.0, 0.0
535403210, Garage Type, 185000.0, 185000.0, 0.0
535403210, Garage Year Built, 185000.0, 185000.0, 0.0
535403210, Garage Finish Type, 185000.0, 185000.0, 0.0
535403210, Garage Capacity (Cars), 185000.0, 215000.0, 30000.0
535403210, Garage Area (sqft), 185000.0, 185000.0, 0.0
535403210, Garage Quality, 185000.0, 185000.0, 0.0
535403210, Garage Condition, 185000.0, 185000.0, 0.0
535403210, Paved Driveway, 185000.0, 185000.0, 0.0
535403210, Wood Deck Area (sqft), 185000.0, 185000.0, 0.0
535403210, Open Porch Area (sqft), 185000.0, 185000.0, 0.0
535403210, Enclosed Porch Area (sqft), 185000.0, 185000.0, 0.0
535403210, Three-Season Porch Area (sqft), 185000.0, 185000.0, 0.0
535403210, Screen Porch Area (sqft), 185000.0, 185000.0, 0.0
535403210, Pool Area (sqft), 185000.0, 185000.0, 0.0
535403210, Pool Quality, 185000.0, 185000.0, 0.0
535403210, Fence Quality, 185000.0, 185000.0, 0.0
535403210, Miscellaneous Feature, 185000.0, 185000.0, 0.0
535403210, Miscellaneous Value, 185000.0, 185000.0, 0.0
535403210, Month Sold, 185000.0, 185000.0, 0.0
535403210, Year Sold, 185000.0, 185000.0, 0.0
535403210, Sale Type, 185000.0, 185000.0, 0.0
535403210, Sale Condition, 185000.0, 185000.0, 0.0
923228420, Building Class, 175000.0, 175000.0, 0.0
923228420, Zoning Classification, 175000.0, 175000.0, 0.0
923228420, Lot Frontage (ft), 175000.0, 175000.0, 0.0
923228420, Lot Area (sqft), 175000.0, 165000.0, 10000.0
923228420, Street Type, 175000.0, 175000.0, 0.0
923228420, Alley Access, 175000.0, 175000.0, 0.0
923228420, Lot Shape, 175000.0, 175000.0, 0.0
923228420, Land Contour, 175000.0, 175000.0, 0.0
923228420, Utilities, 175000.0, 175000.0, 0.0
923228420, Lot Configuration, 175000.0, 175000.0, 0.0
923228420, Land Slope, 175000.0, 175000.0, 0.0
923228420, Neighborhood, 175000.0, 165000.0, 10000.0
923228420, Proximity to Conditions 1, 175000.0, 175000.0, 0.0
923228420, Proximity to Conditions 2, 175000.0, 175000.0, 0.0
923228420, Building Type, 175000.0, 185000.0, 10000.0
923228420, House Style, 175000.0, 165000.0, 10000.0
923228420, Overall Quality, 175000.0, 175000.0, 0.0
923228420, Overall Condition, 175000.0, 165000.0, 10000.0
923228420, Year Built, 175000.0, 165000.0, 10000.0
923228420, Year Remodeled/Added, 175000.0, 225000.0, 50000.0
923228420, Roof Style, 175000.0, 175000.0, 0.0
923228420, Roof Material, 175000.0, 165000.0, 10000.0
923228420, Exterior Covering 1, 175000.0, 165000.0, 10000.0
923228420, Exterior Covering 2, 175000.0, 165000.0, 10000.0
923228420, Masonry Veneer Type, 175000.0, 175000.0, 0.0
923228420, Masonry Veneer Area (sqft), 175000.0, 175000.0, 0.0
923228420, Exterior Quality, 175000.0, 175000.0, 0.0
923228420, Exterior Condition, 175000.0, 175000.0, 0.0
923228420, Foundation Type, 175000.0, 165000.0, 10000.0
923228420, Basement Height Quality, 175000.0, 175000.0, 0.0
923228420, Basement Condition, 175000.0, 175000.0, 0.0
923228420, Basement Exposure, 175000.0, 175000.0, 0.0
923228420, Basement Finish Type 1, 175000.0, 175000.0, 0.0
923228420, Basement Finished Area 1 (sqft), 175000.0, 175000.0, 0.0
923228420, Basement Finish Type 2, 175000.0, 165000.0, 10000.0
923228420, Basement Finished Area 2 (sqft), 175000.0, 175000.0, 0.0
923228420, Basement Unfinished Area (sqft), 175000.0, 165000.0, 10000.0
923228420, Total Basement Area (sqft), 175000.0, 175000.0, 0.0
923228420, Heating Type, 175000.0, 165000.0, 10000.0
923228420, Heating Quality, 175000.0, 165000.0, 10000.0
923228420, Central Air Conditioning, 175000.0, 175000.0, 0.0
923228420, Electrical System, 175000.0, 165000.0, 10000.0
923228420, First Floor Area (sqft), 175000.0, 225000.0, 50000.0
923228420, Second Floor Area (sqft), 175000.0, 175000.0, 0.0
923228420, Low Quality Finished Area (sqft), 175000.0, 175000.0, 0.0
923228420, Above Ground Living Area (sqft), 175000.0, 225000.0, 50000.0
923228420, Basement Full Bathrooms, 175000.0, 185000.0, 10000.0
923228420, Basement Half Bathrooms, 175000.0, 175000.0, 0.0
923228420, Full Bathrooms, 175000.0, 175000.0, 0.0
923228420, Half Bathrooms, 175000.0, 175000.0, 0.0
923228420, Bedrooms Above Ground, 175000.0, 215000.0, 40000.0
923228420, Kitchens Above Ground, 175000.0, 225000.0, 50000.0
923228420, Kitchen Quality, 175000.0, 175000.0, 0.0
923228420, Total Rooms Above Ground, 175000.0, 165000.0, 10000.0
923228420, Functional Rating, 175000.0, 165000.0, 10000.0
923228420, Number of Fireplaces, 175000.0, 175000.0, 0.0
